"COU","Country","IND","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",39.7,,
"BEL","Belgium","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",32.8,,
"CZE","Czech Republic","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",30.6,,
"FIN","Finland","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",44.4,,
"FRA","France","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",36.6,,
"DEU","Germany","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",34,,
"GRC","Greece","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",26.2,,
"HUN","Hungary","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",31.7,,
"ISL","Iceland","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",46.7,,
"IRL","Ireland","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",32.4,,
"ITA","Italy","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",24.2,,
"JPN","Japan","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",23.8,,
"KOR","Korea","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",18.6,,
"LUX","Luxembourg","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",36.1,,
"MEX","Mexico","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",58.5,,
"NLD","Netherlands","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",32.5,,
"POL","Poland","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",32.4,,
"PRT","Portugal","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",31,,
"SVK","Slovak Republic","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",39.4,,
"ESP","Spain","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",33,,
"CHE","Switzerland","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",39.6,,
"TUR","Turkey","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",26.2,,
"GBR","United Kingdom","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",28.3,,
"USA","United States","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",35.9,,
"BRA","Brazil","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",44.6,,
"BGR","Bulgaria","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",42.8,,
"CHL","Chile","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",38.1,,
"COL","Colombia","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",50.8,,
"CRI","Costa Rica","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",58.4,,
"HRV","Croatia","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",47.8,,
"EST","Estonia","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",36.9,,
"LVA","Latvia","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",31.5,,
"LTU","Lithuania","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",47.6,,
"PER","Peru","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",42.8,,
"RUS","Russia","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",46.8,,
"SVN","Slovenia","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",32.5,,
"OAVG","OECD - Average","CWB44A","Adolescents (15-year-olds) reporting high life satisfaction (%)","2015","2015",34.1,,
